"";"data";"godzina";"zamkniecie"
"995";20190219;200000;144,54
"996";20190220;80000;144,65
"997";20190220;120000;144,32
"998";20190220;160000;144,65
"999";20190220;200000;144,69
"1000";20190221;80000;144,4
"1001";20190221;120000;144,58
"1002";20190221;160000;144,59
"1003";20190221;200000;144,25
"1004";20190222;80000;144,38
"1005";20190222;120000;144,19
"1006";20190222;160000;144,58
"1007";20190222;200000;144,51
"1008";20190225;80000;144,71
"1009";20190225;120000;144,87
"1010";20190225;160000;144,84
"1011";20190225;200000;145,57
"1012";20190226;80000;145,72
"1013";20190226;120000;146,47
"1014";20190226;160000;146,61
"1015";20190226;200000;146,64
"1016";20190227;80000;146,29
"1017";20190227;120000;147,12
"1018";20190227;160000;147,84
"1019";20190227;200000;147,74
"1020";20190228;80000;147,13
"1021";20190228;120000;147,36
"1022";20190228;160000;147,97
"1023";20190228;200000;147,79
